ASIN,URL,Title,Image URL 1,Colour,Brand,Towel form type,Material,Product Dimensions,Number of Items,Style,Pattern,Special Feature,Product Care Instructions,Shape,Size,Net Quantity,UPC,Manufacturer,About Item 1,About Item 2,About Item 3,About Item 4,About Item 5,Head Material,Item Weight,Handle Length,Item Firmness Description,Item model number,Handle Material,Country of Origin,Product Description,About Item 6,About Item 7,Head Style,Recommended Uses For Product,Item dimensions L x W x H,Model Name,Included Components,Closure Type,Thread Count,Age Range (Description),Occasion,Theme,Seasons,Pillowcase Quantity,Fitted Sheet Pocket Depth,Capacity,Compatible Devices,Is Oven Safe,Has Nonstick Coating,Is Dishwasher Safe,Specific Uses For Product,Manufacture Year,Surface Recommendation,Number of Sets,Grit Material,Grit Type,Compatible Material,Grit Number
B08Y6D5S3W,https://www.amazon.in/dp/B08Y6D5S3W,"10-Pack 9.85""x9.85""Microfiber Cleaning Cloth Kitchen Dish Towels, Double-Sided Microfiber Towel Lint-Free, Super Absorbent and Dry Quickly, Suitable for Kitchen, Car, Glass Cleaning.",https://m.media-amazon.com/images/I/61GTQi1fg2S._SX679_.jpg,Pink + Grey,SHICEN,Cleaning Cloth,Microfibre,25L x 25W Centimeters,10,Classic,Solid,"Lightweight, Lint Free",Hand Wash Only,Square,Small,10.0 count,663580713540,SHICEN,"【PACK OF 10】The pack includes 10 double-sided cleaning cloths (250 × 250mm/9.85 x 9.85inch), available with multiple color and lace decorated, which are convenient for different purpose.","【ENVIRONMENTAL PROTECTION】 Our microfiber towels do not contain any chemical substances, which can ensure your health and safety. Can be reused hundreds of times! It is easy to clean, just wash your hands with detergent!","【LINT FREE】Lint free cloth and not easy to fade, it won’t scratch paints or leave tiny scratches on the surface when cleaning table tops, glass and delicate materials. Strongly removes grease attached to dishes, sinks, and bathtubs.","【ULTRA ABSORBENT】These dishtowels are made of high quality coral velvet thickening material, they are lightweight, super absorbent and dry quickly. The SHICEN classic kitchen towels are lint-free and absorb fluids quickly and efficiently for any tasks.","【MULTIFUNCTIONAL CLEANING CLOTHS】 Able to clean virtually any surface or dish in your home, you can also use these microfiber towels for cars, to clean vehicles, stainless steel, and even paintwork.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0D79KG213,https://www.amazon.in/dp/B0D79KG213,"Barebeauty 2 in 1 Long Handle Microfiber Feather Ceiling Duster with extendable Pole 30-100 Inch with Anti Scratch Bendable Head for Cleaning High Cobweb Stick High Ceiling Fan Mop,Grey",https://m.media-amazon.com/images/I/61YiVmbaxBL._SX679_.jpg,Grey,Barebeauty,,,50L x 5W Centimeters,,,,"Extendable Handle, Bendable",,,,,,Stepping Stone,"?Cleaning Kit?Our feather duster kit include a extendable long pole with two replacement duster head,1*duster head,1*cobweb duster head. This microfiber cleaning kit contains everything you need to clean your home or office from floors, windows, furniture to ceilings","?Expandable Duster?The duster designed for cleaning handle can extend from 30 inches to 100 inches, plus the feather duster head can reach up to 100 inches. The length can be adjusted manually, so it can not only clean low tabletops and sofas, but also the tops of refrigerators and air conditioners without risking climbing a ladder to remove dust.","?Bendable Duster Head?This extendable duster has a certain degree of elasticity and can be bent easily, and has excellent cleaning functions. It can be fixed at different angles and shapes according to different usage environments to facilitate dust removal.","?Removable and Washable Microfiber ?Microfiber can be used both drying and wet, suitable for wet and drying dust removal in large areas, (The microfiber feather duster and cobweb duster heads can only be washed by hand)","? After-sales Service? We are committed to providing customers with the high-quality service. If there is any problem, please contact us and we will solve your problem. And any suggestion or request please feel free to contact us in anytime that we can try our best to reply in short time.",Microfiber,360 Grams,243 Centimetres,Soft,STP-Duster-2In1Gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0CQFLTKK2,https://www.amazon.in/dp/B0CQFLTKK2,"Hallstatt 2024 Microfiber Fan Cleaner Ceiling Duster for home cleaning 100 inch Long handle Bendable, Extendable and adjustable dust Remover brush for High roof cobweb Blinds Furniture Fan Mop, Grey",https://m.media-amazon.com/images/I/71wb0Xu2edL._SX679_.jpg,Grey,Hallstatt,,,10 x 8 x 5 cm; 260 g,,,,Adjustable Height,Hand Wash Only,,,,,Raiyaraj Enterprise,"[ Super Long Dusters ] The duster for high ceiling can reach up to 100"" inch can easy to clean high ceilings,cobwebs,wall, ceiling fans, and chandelier. Safely and comfortably to clean your house.","[ Microfiber Head ] Featuring innovative split fiber technology, And the duster static adsorbs dust, pollen and hairs with ease. The fluffy microfiber and the soft rubber on the top no scratches to the surface of sofa, furniture or wall during cleaning.","[ Super Long Dusters ] The duster for high ceiling can reach up to 100"" inch can easy to clean high ceilings,cobwebs,wall, ceiling fans, and chandelier. Safely and comfortably to clean your house.","[ Easy To Clean & Storage ] Detachable microfiber cleaning head makes it easy for maintenance, Remove the head after use and wash the cleaning head with warm water and hang it at dry and ventilated place to make it fluffy for next use.","[ Bendable Duster ] The fan duster head can be bent into various angles you want, cleaning all kinds of dead angles and hard-to-reach areas. And the duster for cleaning is installed with a unique Soft Tip at the top to ensure you can clean the dust with complete peace of mind.",Microfiber,,,Soft,Fan Duster Brush,Stainless steel and Plastic,China,"We design this microfiber duster which is easy to do cleaning. When you want to clean the high ceiling or fan, just extend the pole from 30 inches to 100 inches. You can clean the high places without needing to stand on the chairs, so it's very safe and convenient for you to use our microfiber duster.",[ Powerful Adsorption Duster ] The positively charged fibers in the microfiber duster can attract and hold onto negatively charged dust particles. You don't need to endure the irritation caused by the dust raised during the cleaning anymore.,[ Reusable and Washable Duster ] Hand washes it with warm or low heat water! Rotate the pole and let the microfiber be fluffy. Then place it in ventilated place to dry.,,,,,,,,,,,,,,,,,,,,,,,,,,
B0DMLZKM99,https://www.amazon.in/dp/B0DMLZKM99,"24 in 1 Mini Screwdriver Set with Case, Small Screwdriver Set of Flathead Screwdrivers Magnetic Micro Screwdriver Kit, Screwdriver Set for Electronics、Jewelers, PC, Glasses, Watch. Phone",https://m.media-amazon.com/images/I/61G9i1udDRL._SX679_.jpg,Black,AMENDAS,,Plastic,14 x 8 x 4 cm; 140 g,24,,,Easy To Portable,,,,,,HARI KRISHNA ENTERPRISE,"24-in-1 Precision Screwdriver Set: This all-in-one set includes 24 interchangeable bits, perfect for handling delicate repairs on watches, spectacles, laptops, and more. Achieve precision and efficiency with every turn!","High Quality Interchangeable Precise Manual Screwdriver Set Is Made Of S2 Tool Steel, Not Easy To Oxidize Or Rust. Anti-Sweat And Anti-Corrosion, Wear Resistant, Heat Resistant, Tough, Hard And Durable. All Standard Size Bits Have Passed Strict Quality Control Tests, The Tip Is Stable And Not Easy To Fall Off, Which Can Be Continuously Operated By One Hand.","True All-Rounder The Precision Screwdriver Set Has 24 Mini Screw Bits, Which The Shape Is Marked Inside The Case, And The Corresponding Model Is Engraved On The Bits. Easy To Find The Tool You Need Quickly. Suit For Tablet, Watch, Camera, Glasses, Computer, Mobile Phone, Laptop, Keyboard, Ps4, Headphone, Drone, Game Console And Other Electronic Repair And Care.","Electric Mini Screwdriver Kit: Experience effortless operation with our electric-powered screwdriver, designed to deliver optimal torque for delicate projects. The mini size is ideal for compact storage and easy handling, especially when working with small screws.","Watch Screwdriver Tool Set: Tailored for watch repair and electronic device maintenance, this set ensures accuracy and care for delicate components. The anti-slip handle and magnetic bits provide enhanced control and precision.",,140 Grams,,,SDS_5448,,India,,"Spectacle & Laptop Screwdriver Companion: Tackle spectacles and laptop repairs with confidence. Each bit is crafted from durable, high-grade materials to prevent wear and tear, ensuring longevity and reliability for frequent use.","Compact and Portable Design: This 24-piece precision screwdriver set is housed in a convenient storage case, making it perfect for on-the-go repairs. Whether at home or on the move, you’ll always have the right tool at your fingertips.",Flat,Electronic Repair,14 x 8 x 4 Centimeters,SDS_5448,,,,,,,,,,,,,,,,,,,,,,
B0DGG1PYM1,https://www.amazon.in/dp/B0DGG1PYM1,"Beadsz 2pcs 2 in 1 Needle Threader Seam Ripper Upgraded Thread Seam Ripper Needle Threading and Seam Remover Seam Ripper Tool Needle Threaders for Hand Sewing Knitting Craft Quilting Supplies, Pink",https://m.media-amazon.com/images/I/51myR6XXVnL._SX679_.jpg,,,,,,,,,,,,,,,Jay gurudev Tailoring Materials Nateji Road Rachur 584101 (KA),"Versatile 2-in-1 Design: This tool combines a needle threader and a seam ripper, providing a convenient solution for all your sewing needs.","Effortless Threading: The needle threader simplifies the process of threading needles, saving you time and frustration.","Precise Seam Removal: The seam ripper allows you to precisely remove stitches and seams, ensuring clean and accurate alterations.","Compact and Portable: Lightweight and compact, this tool can easily fit in your sewing kit or craft bag for on-the-go use.","Durable Construction: Made from high-quality materials, this 2-in-1 tool is designed to withstand regular use and provide long-lasting performance.",,,,,2-in-1 Needle Threader Seam Ripper,,India,"Enhance your crafting experience with our 2-in-1 needle threader and seam ripper tool. This versatile accessory combines a needle threader and a seam ripper, making it an indispensable companion for all your sewing, knitting, quilting, and crafting projects. The needle threader effortlessly threads needles of various sizes, saving you time and frustration. The seam ripper, with its sharp yet safe blade, allows you to remove stitches and seams with precision. Crafted from durable materials, this 2-piece set is designed for long-lasting use. Compact and portable, it's perfect for on-the-go crafting or storing in your sewing kit. Upgrade your crafting tools and enjoy a seamless, hassle-free experience with this 2-in-1 needle threader and seam ripper.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0DDYDJF83,https://www.amazon.in/dp/B0DDYDJF83,"350 TC Cotton Feel Glace Cotton All Around Elastic Fitted Bedsheets King Size|Premium Super Soft Fitted Bedsheet King Size for Double Bed|Fits Up to 8 to 10 Inches, 78 x 72, Pink",https://m.media-amazon.com/images/I/615Kemd1pHL._SX679_.jpg,Pink Patta,Generic,,Cotton,,,Cottage,Floral,"Wrinkle Resistant, Breathable",Machine Wash,,King Size 72x78,,,Generic,CONTENTS: -1 Elastic Fitted Bedsheets King Size with 2 Standard Size Pillow Covers. Fitted Bedsheet For Double Bedsheet.,"Luxurious comfort: Indulge in unparalleled softness and coziness, enveloping you in a cloud of relaxation every night.",Elastic fitted design: No more tucking of Bedsheets every morning. Elastic border all along to give a neat finish and firm fit.,"Breathable fabric: Stay cool and comfortable all night long, promoting restful slumber.","Wrinkle-resistant: Wake up to smooth, flawless sheets every morning, no ironing required.",,363 g,,,Elastic Fitted Bedsheets,,India,Elastic Fitted Bedsheets King Size with 2 Standard Size Pillow Covers. Fitted Bedsheet For Double Bedsheet.,,,,,198 x 182 x 20 Centimeters,,"Bed Sheet, Pillow Cover",Elastic,350,Adult,Housewarming,Floral,all-season,2,9 Inches,,,,,,,,,,,,,
B0CZ9N2PRC,https://www.amazon.in/dp/B0CZ9N2PRC,"3-Piece Cookware Set of Non Stick Kadhai, Tawa & Saucepan - Induction Bottom Non Stick Cookware Set for Modern Kitchen (Cast Iron, Non-Stick, Induction Bottom) KR-TW-SCP_6, Multicolor",https://m.media-amazon.com/images/I/61JNYR9SKpL._SY879_.jpg,Multicolor,Generic,,Cast Iron,,,,,"Non Stick, Induction Stovetop Compatible",Hand Wash Only,Round,,,,Generic,Made from High Quality Iron,Induction & Flame Friendly Cookware,Durable Handles,"Note : - Product Design, Handle Shape And Color May Vary As Per The Availability.",,,,,,260,Plastic,India,"This Cooking Utensil is a Part Of Induction & Flame Friendly Cookware and is Made from High Quality Iron, Which Has A Very Good Tendency Of Conducting Heat And Electricity. Compatible with your Household: This Utensil is Highly Induction-Friendly & Flame Safe for Easy Usage on Both, Induction Cook-Top & Normal LPG Gas Stove. Durable Handles: It also Features Heat Insulated, Ergonomic & Comfortable to Hold Handles. --- Note : - Product Design, Handle Shape And Color May Vary As Per The Availability.",,,,"Searing, Stir Frying, Sautéing, Pan Roasting",,Cookware-260,,,,,,,,,,3.5 litres,Smooth Surface Induction,No,Yes,Yes,"Tadka, Tawa, Kadai",2024,,,,,,
B0DNWJNCXD,https://www.amazon.in/dp/B0DNWJNCXD,"4 PCS Power Drill Scrubber Brush Cleaning Kit - All Purpose Drill Brush for Bathroom Surfaces, Grout, Floor, Tub, Shower, Tile, Corners, Kitchen, Grill - Fits Most Drills (Without Drill Machine)",https://m.media-amazon.com/images/I/617Zpkm7U0L._SX679_.jpg,Yellow And Black,BIRDLINE,,"Nylon, Plastic",20L x 15W x 5H Centimeters,5,,,"Multi-surface Cleaning, Reusable, Interchangeable Brushes",,Round,,4 Piece,,BIRDLINE,"* * ✔ 5 Piece Drill Brush Attachment Set, Includes : 4 brushes of different sizes and 1 Extension rod. （Cordless Drill NOT included!!!）","* * ✔ 4 brushes of different sizes clean your bathtub, grout, upholstery, bathroom surface, floor, tile, shower, toilet and carpet etc, Nylon bristles will not scratch surfaces of them.","* * ✔ Extended reach attachment help brush to clean the tight spaces or hard-to-reach areas such like stove grates, drip pans, crevices, car etc","* * ✔Time Saving: Get tired of the boring household cleaning? Try Birdline Power Scrubbing Drill Brush that attach to any cordless drill or impact driver, become a powerful cleaning tool. Get stubborn cleaning jobs done faster and achieve a deeper clean, definitely a good partner for your household cleaning. (DRILL IS NOT INCLUDED)",* * ✔Cordless Drill NOT included!!!,,300 Grams,,Firm,BL M110 NEW,Plastic,India,,,,,,,,"6 Inch Attachment Road, Flat Brush, Small Brush, Round Brush, Drill Brush",,,,,cleaning,,,,,,,,,"Cleaning, Scrubbing, Bathroom Cleaning, Kitchen Cleaning",,All-purpose,,,,,
B0CFHDWRGS,https://www.amazon.in/dp/B0CFHDWRGS,"Max Saver 5 PACK MEDIUM Space SaverZiplock Bags For Travel Packing, 5 Medium(50X70)cm Reusable Travel Essentials Vacuum Packing Bags For Travelling, Plastic Compression Storage Organizer, Transparent",https://m.media-amazon.com/images/I/61568sRzSKL._SX679_.jpg,Transparent,Max Saver,,PA+PE,24L x 5.5W x 26H Centimeters,5,,,Lightweight,,Rectangular,5X(MEDIUM) + HANDPUMP,,,Max Saver,"5 PACK STORAGE BAGS: Max Saver Pack contains 5 Pack Medium (50x70)cm vacuum storage bags. The Reusable Travel Compression Bags can beImported, Packed and Marketed by Bigtime Enterprises, New Delhi-110039 used on a variety of items, including clothing, Sweaters, Tshirts, shirts, bedding, and more. Save more space for your travel and home storage.","Max Saver vacuum Storage Space Saver Ziplock bags are made of flexible and thick premium PA + PE material, tear-resistant and durable. The storage bags are reusable, which can keep your products well and save 80% space for your storage.","HAND PUMP INCLUDED: The hand pump carried by vacuum bags is easy to use and can easily suck the air out of the storage bag, whether you are traveling or at home, it can help you compress your clothes in a vacuum and save space. Also The Bags can be used by home Vacuum Cleaner","Our Max Saver Air- Tight Plastic Space bags reduces the effects of oxidation and protects your stored items from dirt, dust, odors and moisture. Best travel bags for luggage & packing supplies for moving, Travelling, Holidays.",,,400 Grams,,,MAX-MEDIUM-5X(50X70)CM,,China,,,,,Bedding,,,,Zipper,,,,,,,,,,,,,,,,5,,,,
B09JCG92CQ,https://www.amazon.in/dp/B09JCG92CQ,"ing 51pcs sanddrum Set for Dremel & All Other Rotary Tools with 51 Replaceable sandbands & 6 Rubber Drum Mandrels for Wood Work, Metal Work, Jewellery makmodel Making, Brown",https://m.media-amazon.com/images/I/61jqTLEQNTL._SX679_.jpg,,ing,,Rubber,2.54 x 15.24 x 15.24 cm; 50 g,1,,,,,,,,,iNGCO,Repairing hand tool,"51 Piece Sanding Drum Set with Mandrills Includes: 2pcs 1/4"" x 1/2"" mandrel, 2pcs 3/8"" x 1/2"" mandrel, 2pcs 1/2"" x 1/2"" mandrel & 15pcs 1/2"" x 1/2"" sanding band 120 grit, 15pcs 3/8"" x 1/2"" sanding band 120 grit, 15pcs 1/4"" x 1/2"" sanding band 120 grit. Mandrels are 1/8"" shank to fit drills, dremel tools",,,,,,,,638228,,China,"51 Piece Sanding Drum Set with Mandrills Includes: 2pcs 1/4"" x 1/2"" mandrel, 2pcs 3/8"" x 1/2"" mandrel, 2pcs 1/2"" x 1/2"" mandrel & 15pcs 1/2"" x 1/2"" sanding band 120 grit, 15pcs 3/8"" x 1/2"" sanding band 120 grit, 15pcs 1/4"" x 1/2"" sanding band 120 grit. Mandrels are 1/8"" shank to fit drills, dremel tools",,,,,25 x 152 x 152 Millimeters,,,,,,,,,,,,,,,,,,,,Silicon Carbide,Coarse,Wood,120
